948,323,4,52
882,46,41,23
134,443,202,162
850,424,216,173
498,87,269,215
900,187,364,304
374,513,443,399
589,167,497,373
112,733,499,415
179,320,534,379
917,191,542,439
724,317,572,445
721,316,588,445
711,293,625,521
561,70,672,498
959,68,753,508
699,599,893,653
469,664,1494,969
671,298,1715,1049
244,575,2287,1347
283,523,2406,1465
831,349,2581,1583
244,250,2856,1738
899,95,3227,1927
357,688,3263,2005
544,87,3334,2019
661,51,3841,2316
830,329,4099,2441
831,329,4099,2441
759,31,4099,2427
620,727,4114,2470
908,269,4149,2496
391,344,4177,2493
545,292,4189,2494
677,127,4186,2483
148,374,4214,2498
526,52,4214,2532
577,656,4214,2518
827,175,4316,2543
594,551,4359,2680
522,104,4363,2623
971,63,4363,2637
137,342,4363,2652
124,673,4363,2681
521,270,4405,2649
674,181,4405,2639
799,157,4433,2715
145,305,4433,2644
490,262,4446,2649
547,455,4508,2747
788,408,4537,2805
662,412,4546,2803
602,103,4546,2773
571,250,4570,2793
414,114,4640,2846
465,85,4643,2849
867,661,4750,2979
528,624,4757,2973
839,346,4767,2942
781,325,4766,2941
845,483,4789,2969
766,581,4804,2976
824,396,4813,2959
565,508,4851,3030
792,97,4866,2991
172,185,4866,2998
199,162,4968,3077
426,656,4987,3098
699,191,5027,3117
906,220,5185,3178
804,570,5236,3275
856,360,5316,3322
899,372,5316,3252
963,70,5378,3303
345,737,5531,3390
846,476,5854,3599
688,489,5882,3597
935,309,5912,3638
729,328,5973,3627
734,340,5998,3628
173,275,6049,3678
349,547,6116,3759
982,142,6184,3732
868,478,6220,3805
628,62,6288,3785
276,728,6571,3998
522,466,6664,4023
498,122,6706,4006
251,339,6767,4065
629,150,6812,4050
455,738,6865,4137
593,60,6865,4092
151,504,6970,4167
79,641,6997,4173
79,643,6997,4173
728,474,7067,4224
476,515,7202,4277
854,538,7249,4331
431,655,7426,4391
668,506,7426,4424
666,506,7438,4424
438,654,7438,4391
823,462,7445,4425
916,654,7450,4441
675,504,7450,4424
438,654,7450,4391
223,695,7450,4432
128,680,7450,4430
433,386,7450,4417
843,744,7462,4440
303,655,7462,4433
293,521,7462,4420
643,332,7462,4412
591,294,7450,4413
194,752,7450,4442
488,635,7450,4436
812,303,7462,4415
646,513,7482,4423
307,350,7482,4416
281,230,7482,4402
556,343,7482,4418
430,490,7482,4422
413,724,7500,4435
553,614,7500,4426
709,645,7500,4437
638,145,7517,4448
249,307,7517,4410
982,715,7540,4460
826,215,7540,4449
645,147,7540,4448
260,310,7540,4410
248,314,7540,4410
632,151,7540,4448
161,201,7540,4445
322,258,7504,4411
770,563,7551,4459
